artists;acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;popularity;key;mode;count;;;;;;;;
2010 Imperial Choraliers;0.63;0.628;180000;0.197;0.000329;0.0905;-14.96;0.0327;118.019;0.303;1;3;1;2;;;;;;;;
2010 Philadelphia Singers;0.924333333;0.320666667;268311;0.332;0.028666667;0.132533333;-12.13466667;0.032333333;110.251;0.265666667;0;5;1;3;;;;;;;;
2012;0.000105133;0.675666667;392337.6667;0.927666667;0.854333333;0.293666667;-6.649666667;0.044066667;142.6593333;0.070433333;0;11;0;3;;;;;;;;
2013;0.000303;0.799;389677;0.907;0.85;0.0575;-9.249;0.0507;129.999;0.0848;0;3;0;2;;;;;;;;
2014 ATHINAIKI DISCOGRAFIKI;0.995;0.501;189453;0.341;0.0117;0.418;-11.514;0.0814;109.956;0.621;0;2;1;2;;;;;;;;
2017;0.000775;0.713;467647;0.842;0.821;0.429;-8.288;0.0402;136.008;0.202;0;2;1;2;;;;;;;;
20for7;2.58E-05;0.806;419200;0.468;0.645;0.0165;-13.494;0.068;124;0.511;0;0;1;1;;;;;;;;
20th Century Fox Studio Orchestra;0.831;0.346666667;101480.3333;0.326;0.810333333;0.336766667;-13.196;0.036933333;100.0243333;0.632666667;0;5;1;6;;;;;;;;
21 Savage;0.132508688;0.7913125;218541.7083;0.594875;0.037068352;0.1588375;-6.604958333;0.261022917;125.8722708;0.377591667;70.16666667;1;0;48;;;;;;;;
22; Little Red; Tangle Eye & Hard Hair;0.948;0.789;278082;0.352;0.000778;0.0867;-9.337;0.66;139.616;0.659;16;8;1;1;;;;;;
24hrs;0.0742;0.536;192000;0.879;0;0.0847;-3.019;0.0621;140.137;0.334;73;1;1;2;;;;;;;;
24kGoldn;0.141665;0.7145;157811.4167;0.684;2.15E-06;0.1615;-4.680166667;0.094483333;129.3488333;0.579416667;75.66666667;9;0;12;;;;;;;;
27CLUB;0.428;0.514;155893;0.712;8.77E-06;0.112;-7.281;0.334;76.393;0.487;66;2;1;2;;;;;;;;
2:00AM Wake Up Call;0.72;0.426;192000;0.417;0;0.101;-9.113;0.0297;169.663;0.553;0;9;0;2;;;;;;;;
2Baba;0.0158;0.591;283000;0.602;0;0.278;-7.483;0.386;147.957;0.355;0;1;1;2;;;;;;;;
2CELLOS;0.632;0.756;214680;0.814;0.00068;0.161;-6.11;0.0437;135.043;0.905;61;0;1;2;;;;;;;;
2Glory;0.101;0.707;240000;0.685;0;0.0963;-8.11;0.103;92.525;0.41;0;8;1;2;;;;;;;;
2KBABY;0.512;0.686;105600;0.362;0;0.168;-12.042;0.617;126.7;0.6;70;2;1;2;;;;;;;;
2Loop;0.0020785;0.6265;397431;0.84075;0.8195;0.088875;-9.07825;0.073725;134.48625;0.51375;12.75;5;1;8;;;;;;;;
2NE1;0.00767;0.819;208731;0.844;0.00834;0.056;-3.739;0.038;127.997;0.687;64;0;1;2;;;;;;;;
2Pac;0.128755206;0.776669261;262554.9611;0.703404669;0.007989611;0.22239144;-7.226571984;0.219348638;107.6469494;0.604719844;48.64202335;1;1;257;;;;;;;;
2ReD Suns;0.128;0.605;226302;0.77;3.33E-05;0.195;-7.6;0.193;119.985;0.483;0;10;1;2;;;;;;;;
2Rock;0.000649;0.5;72720;0.983;0.965;0.364;-5.907;0.063;132.043;0.782;3;6;0;1;;;;;;;;
2WRAPZ;0.000991;0.8;436151;0.839;0.837;0.0625;-8.665;0.0533;125;0.969;1;0;1;4;;;;;;;;
2nClubbers;0.00487;0.827;308310.5;0.97;0.46335;0.3385;-5.1935;0.06705;125.9775;0.586;0;6;1;2;;;;;;;;
2nd Chapter Of Acts;0.6055;0.433;169067;0.3765;0;0.1148;-11.4885;0.0277;89.173;0.442;28.5;1;1;4;;;;;;;;
2nd Generation Outlawz;0.0013;0.516;247060;0.452;2.69E-06;0.128;-8.204;0.0322;130.069;0.0412;0;1;1;1;;;;;;;;
2nd II None;0.048271429;0.895714286;243436.2857;0.524142857;1.45E-06;0.222857143;-11.30957143;0.188771429;101.0082857;0.848857143;36;6;1;7;;;;;;;;
2nd South Carolina String Band;0.5895;0.5515;345866.5;0.639;8.15E-07;0.2195;-7.9145;0.04625;103.9895;0.6225;40.5;2;1;4;;;;;;;;
2tone;0.0372;0.645;349547;0.939;0.000686;0.135;-6.869;0.0502;138.009;0.927;1;2;1;1;;;;;;;;
3;0.678;0.692;225360;0.517;0;0.119;-7.027;0.0298;127.944;0.485;0;9;1;1;;;;;;;;
3 Doors Down;0.021503118;0.514333333;235739.8462;0.779051282;0.000808764;0.141897436;-5.738205128;0.03495641;124.3654615;0.419769231;52.97435897;7;0;39;;;;;;;;
3 Years Down;4.12E-05;0.094;140213;0.877;0.000311;0.291;-4.932;0.0586;184.778;0.401;0;9;1;2;;;;;;;;
3 in One;0.479;0.599;202857;0.471;0;0.133;-8.552;0.0945;121.11;0.547;0;6;1;2;;;;;;;;
311;0.025874297;0.626108108;206774.7838;0.806864865;0.002696502;0.174686486;-7.544405405;0.064621622;129.6644595;0.633108108;40.54054054;9;1;74;;;;;;;;
347aidan;0.799;0.8785;189020.5;0.3665;4.10E-05;0.213;-11.438;0.09285;100.4925;0.5855;77;9;0;4;;;;;;;;
35MM: A Musical Exhibition Original Cast;0.113;0.772;289587;0.615;0;0.0581;-7.983;0.0633;119.962;0.704;52;8;0;2;;;;;;;;
36 Crazyfists;0.00119;0.585;198600;0.931;2.46E-05;0.115;-4.843;0.0847;160.079;0.814;51;0;1;2;;;;;;;;
38 Special;0.027751538;0.524923077;252840.2821;0.619282051;0.029026273;0.119592308;-11.65684615;0.032246154;126.3270513;0.774589744;31.64102564;7;1;78;;;;;;;;
3B Glel;0.040735;0.827;189087.5;0.546;0;0.12135;-8.0235;0.439;141.0045;0.266;0;5;1;8;;;;;;;;
3BDF Blicky;0.00257;0.829;166949;0.562;0;0.157;-8.733;0.425;145.022;0.155;0;1;1;2;;;;;;;;
3BallMTY;0.213;0.792;193533;0.916;3.11E-05;0.061;-5.01;0.0685;131.895;0.966;60;9;1;1;;;;;;;;
3CE;0.314;0.939;254587;0.649;6.39E-06;0.13;-6.502;0.122;113.991;0.599;0;7;1;2;;;;;;;;
3LAU;0.031728667;0.519333333;162462.5;0.925333333;0.130252283;0.257716667;-5.8455;0.0923;119.4456667;0.346833333;25.5;5;1;6;;;;;;;;
